station,feature,mean_abs_shap,normalized
Ganghwa,시정(10m),1.9045748710632324,0.29705181348389
Ganghwa,기온(°C),0.08310442417860031,0.01296159068664309
Ganghwa,이슬점온도(°C),0.08814751356840134,0.013748148816524046
Ganghwa,습도(%),0.3527420163154602,0.05501629640843484
Ganghwa,풍속(m/s),0.07198654860258102,0.011227563239299368
Ganghwa,현지기압(hPa),0.21054627001285553,0.03283837893685569
Ganghwa,지면온도(°C),0.17492394149303436,0.027282452809664626
Ganghwa,dew_point_depression,0.5591554641723633,0.08721008933563332
Ganghwa,hour,0.1272776573896408,0.019851180186194316
Ganghwa,air_ground_diff,0.1637127846479416,0.025533876514405626
Ganghwa,dpd_ratio,0.1500328630208969,0.023400253106173545
Ganghwa,ground_air_diff,0.07449972629547119,0.011619537323711982
Ganghwa,ground_air_diff_1h,0.09309887140989304,0.014520399804589275
Ganghwa,rel_humid,0.123170867562294,0.019210654374190124
Ganghwa,weekday,0.0459398590028286,0.007165125737675123
Ganghwa,is_weekend,0.00270726066082716,0.00042224472300391006
Ganghwa,month_sin,0.040776822715997696,0.006359859788098636
Ganghwa,month_cos,0.04863087087869644,0.007584836178035484
Ganghwa,temp_lag_1,0.0625254362821579,0.009751937043103924
Ganghwa,temp_lag_2,0.07770819962024689,0.012119954941375521
Ganghwa,temp_lag_3,0.11818118393421173,0.01843242580835523
Ganghwa,humidity_lag_1,0.0435047447681427,0.00678532701700311
Ganghwa,humidity_lag_2,0.07173532992601395,0.011188381286103895
Ganghwa,humidity_lag_3,0.12377318739891052,0.019304596703516547
Ganghwa,vis_lag_1,0.9941579699516296,0.15505635002877743
Ganghwa,vis_lag_2,0.3284980058670044,0.05123501829789472
Ganghwa,vis_lag_3,0.04562881588935852,0.007116613115602995
Ganghwa,temp_roll_mean_2h,0.03280215337872505,0.005116070413071981
Ganghwa,humid_roll_std_2h,0.19804780185222626,0.030889023892171647
Dongducheon,시정(10m),2.5348591804504395,0.38926732543034925
Dongducheon,기온(°C),0.05917409434914589,0.009087108909127634
Dongducheon,이슬점온도(°C),0.08275168389081955,0.012707817030417026
Dongducheon,습도(%),0.42049452662467957,0.064573519901884
Dongducheon,풍속(m/s),0.1586565226316452,0.024364193760035856
Dongducheon,현지기압(hPa),0.12935255467891693,0.0198641105532724
Dongducheon,지면온도(°C),0.08020752668380737,0.012317121847392306
Dongducheon,dew_point_depression,0.3707234561443329,0.05693039256798326
Dongducheon,hour,0.15158064663410187,0.023277582185758563
Dongducheon,air_ground_diff,0.20363518595695496,0.03127137192168987
Dongducheon,dpd_ratio,0.11173257976770401,0.01715828746032295
Dongducheon,ground_air_diff,0.08999035507440567,0.013819428355036486
Dongducheon,ground_air_diff_1h,0.15714994072914124,0.024132834514420772
Dongducheon,rel_humid,0.19864661991596222,0.03050529948047251
Dongducheon,weekday,0.046880096197128296,0.007199172957343858
Dongducheon,is_weekend,0.005296596325933933,0.0008133753155132429
Dongducheon,month_sin,0.10480321198701859,0.01609417451720028
Dongducheon,month_cos,0.07646232843399048,0.011741988002815748
Dongducheon,temp_lag_1,0.04257054254412651,0.006537373502273342
Dongducheon,temp_lag_2,0.048548851162195206,0.007455436416497743
Dongducheon,temp_lag_3,0.09188511222600937,0.014110397989339302
Dongducheon,humidity_lag_1,0.05418631061911583,0.008321156604010315
Dongducheon,humidity_lag_2,0.04291004687547684,0.006589509709308431
Dongducheon,humidity_lag_3,0.05001853406429291,0.007681129242727493
Dongducheon,vis_lag_1,0.882886528968811,0.1355810533542548
Dongducheon,vis_lag_2,0.1600380688905716,0.024576351824404156
Dongducheon,vis_lag_3,0.07677663117647171,0.011790254111199468
Dongducheon,temp_roll_mean_2h,0.034320369362831116,0.005270430204835662
Dongducheon,humid_roll_std_2h,0.04533436894416809,0.006961802330113316
Paju,시정(10m),1.742821216583252,0.29546315367434284
Paju,기온(°C),0.10577072203159332,0.017931472718202376
Paju,이슬점온도(°C),0.08725098520517349,0.014791793331764584
Paju,습도(%),0.3348403573036194,0.05676599929184146
Paju,풍속(m/s),0.2057439237833023,0.034880082932157885
Paju,현지기압(hPa),0.20111635327339172,0.03409556380667405
Paju,지면온도(°C),0.16011498868465424,0.0271445395873971
Paju,dew_point_depression,0.4404812455177307,0.07467546108385026
Paju,hour,0.24974703788757324,0.04233999835034891
Paju,air_ground_diff,0.17191727459430695,0.029145399217892463
Paju,dpd_ratio,0.0691760927438736,0.011727529092768177
Paju,ground_air_diff,0.07415754348039627,0.01257204207578766
Paju,ground_air_diff_1h,0.10273780673742294,0.01741729793703949
Paju,rel_humid,0.08929625153541565,0.015138530469393658
Paju,weekday,0.03587545454502106,0.006082020828363101
Paju,is_weekend,0.00749499537050724,0.001270638059643386
Paju,month_sin,0.15232990682125092,0.025824722719730343
Paju,month_cos,0.0798192173242569,0.013531874325398497
