station,task,model,seed,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn,n_test,n_positive_test,positive_prevalence_test,val_f1,scale_pos_weight,best_epoch,n_train_sequences
Paju,onset,1D-CNN-Onset,2024.0,0.8949999999999999,0.9646677669784217,0.6896591376297667,0.1068840579710145,0.4097222222222222,0.16954022988505746,0.908914499605989,0.12340953132473512,59,493,15722,85,16359,144,0.008802494039977994,0.24161073825503357,,10.0,46287.0
Paju,onset,LSTM-Onset,2024.0,0.95,0.9853291766000367,0.5968399886935964,0.18831168831168832,0.2013888888888889,0.19463087248322147,0.9314639222941721,0.13378434892102015,29,125,16090,115,16359,144,0.008802494039977994,0.3023255813953488,,10.0,46287.0
Taebaek,overall,Persistence,,,0.9930294906166219,0.7995969199281767,0.5986394557823129,0.6027397260273972,0.6006825938566553,0.7995969199281766,0.3642792477574721,88,59,16580,58,16785,146,0.008698242478403336,,,,
Taebaek,overall,XGBoost,42.0,0.94,0.992135835567471,0.8161192099433003,0.5406976744186046,0.636986301369863,0.5849056603773585,0.9809504325124913,0.5845127217016276,93,79,16560,53,16785,146,0.008698242478403336,0.6176470588235294,119.98353909465021,,
Taebaek,overall,1D-CNN,42.0,0.94,0.985820673220137,0.7144903004741295,0.2909090909090909,0.4383561643835616,0.34972677595628415,0.9748428967428395,0.22089516286003516,64,156,16483,82,16785,146,0.008698242478403336,0.4878048780487805,,9.0,57774.0
Taebaek,overall,LSTM,42.0,0.9249999999999999,0.9915400655347036,0.7343481274806589,0.5149253731343284,0.4726027397260274,0.4928571428571429,0.9777062800961925,0.3923697308260861,69,65,16574,77,16785,146,0.008698242478403336,0.5409836065573771,,4.0,57774.0
Taebaek,overall,XGBoost,1337.0,0.945,0.9926124515936848,0.8197542166571852,0.5662650602409639,0.6438356164383562,0.6025641025641025,0.9828089971818972,0.5993007574822303,94,72,16567,52,16785,146,0.008698242478403336,0.6165413533834586,119.98353909465021,,
Taebaek,overall,1D-CNN,1337.0,0.95,0.9897527554364015,0.7334466309964953,0.42073170731707316,0.4726027397260274,0.44516129032258067,0.9690939013557026,0.3865656525689911,69,95,16544,77,16785,146,0.008698242478403336,0.42748091603053434,,5.0,57774.0
Taebaek,overall,LSTM,1337.0,0.95,0.9876079833184391,0.7968623805928801,0.3697478991596639,0.6027397260273972,0.4583333333333333,0.9785764917708601,0.45622394847698206,88,150,16489,58,16785,146,0.008698242478403336,0.5061728395061729,,7.0,57774.0
Taebaek,overall,XGBoost,2024.0,0.95,0.9922549895740245,0.8127847020574701,0.5476190476190477,0.6301369863013698,0.5859872611464968,0.9820174091732,0.5744115536325206,92,76,16563,54,16785,146,0.008698242478403336,0.625,119.98353909465021,,
Taebaek,overall,1D-CNN,2024.0,0.9299999999999999,0.9888591003872506,0.72281205980009,0.3815028901734104,0.4520547945205479,0.41379310344827586,0.9748885890303932,0.3284111390201419,66,107,16532,80,16785,146,0.008698242478403336,0.4426229508196721,,7.0,57774.0
Taebaek,overall,LSTM,2024.0,0.945,0.991897527554364,0.7684745032919029,0.5337837837837838,0.541095890410959,0.5374149659863946,0.9790889863474739,0.47406553904959403,79,69,16570,67,16785,146,0.008698242478403336,0.5378151260504201,,7.0,57774.0
Taebaek,onset,No-Onset Baseline,,,0.9965140040870297,0.5,0.0,0.0,0.0,0.5,0.003485995912970309,0,0,16580,58,16638,58,0.003485995912970309,,,,
Taebaek,onset,XGBoost-Onset,42.0,0.9249999999999999,0.9935689385743479,0.5930181772804792,0.15492957746478872,0.1896551724137931,0.17054263565891473,0.9577305436545901,0.12177214467572074,11,60,16520,47,16638,58,0.003485995912970309,0.26666666666666666,279.3605769230769,,
Taebaek,onset,1D-CNN-Onset,42.0,0.9199999999999999,0.9895420122610891,0.5909976706459797,0.07971014492753623,0.1896551724137931,0.11224489795918367,0.9498471361424234,0.0598253879388343,11,127,16453,47,16638,58,0.003485995912970309,0.18181818181818182,,7.0,57300.0
Taebaek,onset,LSTM-Onset,42.0,0.945,0.9929679047962495,0.6013071419658085,0.14457831325301204,0.20689655172413793,0.1702127659574468,0.9510492491992846,0.1056059913560374,12,71,16509,46,16638,58,0.003485995912970309,0.3013698630136986,,5.0,57300.0
Taebaek,onset,XGBoost-Onset,1337.0,0.8499999999999999,0.9896021156388989,0.6769331558587414,0.1337579617834395,0.3620689655172414,0.19534883720930232,0.9539755001871802,0.13434437411471878,21,136,16444,37,16638,58,0.003485995912970309,0.24,279.3605769230769,,
Taebaek,onset,1D-CNN-Onset,1337.0,0.9249999999999999,0.9945305926193052,0.5677290878083274,0.16326530612244897,0.13793103448275862,0.14953271028037382,0.9329946757622395,0.08264506432718755,8,41,16539,50,16638,58,0.003485995912970309,0.21739130434782608,,5.0,57300.0
Taebaek,onset,LSTM-Onset,1337.0,0.95,0.9825099170573386,0.733508381514912,0.09688581314878893,0.4827586206896552,0.16138328530259366,0.9526267626138679,0.10120027037297054,28,261,16319,30,16638,58,0.003485995912970309,0.18404907975460122,,15.0,57300.0
Taebaek,onset,XGBoost-Onset,2024.0,0.84,0.988460151460512,0.6591791106859115,0.11046511627906977,0.3275862068965517,0.16521739130434782,0.9603042718688907,0.11870290507216526,19,153,16427,39,16638,58,0.003485995912970309,0.3047619047619048,279.3605769230769,,
Taebaek,onset,1D-CNN-Onset,2024.0,0.8699999999999999,0.9959730736867412,0.5083191215007695,0.09090909090909091,0.017241379310344827,0.028985507246376812,0.9046940643068092,0.05262827182175255,1,10,16570,57,16638,58,0.003485995912970309,0.23529411764705882,,3.0,57300.0
Taebaek,onset,LSTM-Onset,2024.0,0.9299999999999999,0.9909243899507152,0.6690060729586955,0.15037593984962405,0.3448275862068966,0.2094240837696335,0.9534077201447527,0.10590584888885715,20,113,16467,38,16638,58,0.003485995912970309,0.26262626262626265,,8.0,57300.0
Seoul,overall,Persistence,,,0.9963903120633442,0.72230891188251,0.44642857142857145,0.44642857142857145,0.44642857142857145,0.72230891188251,0.201103313356083,25,31,17089,31,17176,56,0.0032603632976245926,,,,
Seoul,overall,XGBoost,42.0,0.09,0.9764788076385654,0.8903079105473966,0.10273972602739725,0.8035714285714286,0.18218623481781376,0.9755684662883845,0.2615726993476213,45,393,16727,11,17176,56,0.0032603632976245926,0.04285714285714286,672.2247191011236,,
Seoul,overall,1D-CNN,42.0,0.8499999999999999,0.9514438751746623,0.8421520360480641,0.047674418604651166,0.7321428571428571,0.08951965065502183,0.9343823014018692,0.17201839312436737,41,819,16301,15,17176,56,0.0032603632976245926,0.032520325203252036,,5.0,58743.0
Seoul,overall,LSTM,42.0,0.5449999999999999,0.9239054494643689,0.8817339786381843,0.03494423791821561,0.8392857142857143,0.06709493219129194,0.9596962616822429,0.29422021006792554,47,1298,15822,9,17176,56,0.0032603632976245926,0.033962264150943396,,5.0,58743.0
Seoul,overall,XGBoost,1337.0,0.15999999999999998,0.9860270144387517,0.8061039719626168,0.1377952755905512,0.625,0.22580645161290322,0.9732904289052068,0.35529206341445674,35,219,16901,21,17176,56,0.0032603632976245926,0.06818181818181818,672.2247191011236,,
Seoul,overall,1D-CNN,1337.0,0.5049999999999999,0.8959594783418724,0.8677152870493992,0.025753424657534246,0.8392857142857143,0.049973418394471024,0.9291607560080107,0.28542976316785457,47,1778,15342,9,17176,56,0.0032603632976245926,0.016835016835016835,,4.0,58743.0
Seoul,overall,LSTM,1337.0,0.71,0.9549953423381462,0.8439335781041388,0.05131414267834793,0.7321428571428571,0.09590643274853801,0.95954814753004,0.3213207090489106,41,758,16362,15,17176,56,0.0032603632976245926,0.0410958904109589,,7.0,58743.0
Seoul,overall,XGBoost,2024.0,0.135,0.9848625989753144,0.8500166889185581,0.14084507042253522,0.7142857142857143,0.23529411764705882,0.9722990028371161,0.3113620533422707,40,244,16876,16,17176,56,0.0032603632976245926,0.045454545454545456,672.2247191011236,,
Seoul,overall,1D-CNN,2024.0,0.615,0.9519096413600373,0.8690837783711616,0.05128205128205128,0.7857142857142857,0.0962800875273523,0.9452071512016021,0.29778045476109666,44,814,16306,12,17176,56,0.0032603632976245926,0.02631578947368421,,8.0,58743.0
Seoul,overall,LSTM,2024.0,0.815,0.970947834187238,0.8430365487316422,0.07648183556405354,0.7142857142857143,0.1381692573402418,0.9654643691588786,0.33021227212620247,40,483,16637,16,17176,56,0.0032603632976245926,0.0446927374301676,,5.0,58743.0
Seoul,onset,No-Onset Baseline,,,0.9981892523364486,0.5,0.0,0.0,0.0,0.5,0.001810747663551402,0,0,17089,31,17120,31,0.001810747663551402,,,,
Seoul,onset,XGBoost-Onset,42.0,0.09999999999999999,0.9705607476635514,0.7598568405633506,0.03353057199211045,0.5483870967741935,0.06319702602230483,0.9529182137538013,0.0760849906613421,17,490,16599,14,17120,31,0.001810747663551402,0.03296703296703297,1086.8181818181818,,
Seoul,onset,1D-CNN-Onset,42.0,0.615,0.9966705607476636,0.5797381450810651,0.1388888888888889,0.16129032258064516,0.14925373134328357,0.8694934866609156,0.10947106325314872,5,31,17058,26,17120,31,0.001810747663551402,0.11764705882352941,,1.0,58656.0
Seoul,onset,LSTM-Onset,42.0,0.8899999999999999,0.9772196261682243,0.7631923195264261,0.043256997455470736,0.5483870967741935,0.08018867924528301,0.9379434799597552,0.17823022975854255,17,376,16713,14,17120,31,0.001810747663551402,0.035398230088495575,,7.0,58656.0
Seoul,onset,XGBoost-Onset,1337.0,0.075,0.9638434579439252,0.8047914240248868,0.03184713375796178,0.6451612903225806,0.06069802731411229,0.9540111635668294,0.07785626800651319,20,608,16481,11,17120,31,0.001810747663551402,0.02586206896551724,1086.8181818181818,,
Seoul,onset,1D-CNN-Onset,1337.0,0.8649999999999999,0.9705607476635514,0.7920563879046887,0.03718199608610567,0.6129032258064516,0.07011070110701106,0.9221664945758354,0.06666619460620998,19,492,16597,12,17120,31,0.001810747663551402,0.023809523809523808,,8.0,58656.0
Seoul,onset,LSTM-Onset,1337.0,0.48999999999999994,0.922838785046729,0.832551216685323,0.01721556886227545,0.7419354838709677,0.033650329188002925,0.9391836665351604,0.14845335546932933,23,1313,15776,8,17120,31,0.001810747663551402,0.02909090909090909,,6.0,58656.0
Seoul,onset,XGBoost-Onset,2024.0,0.07,0.9602219626168225,0.819077165277041,0.030346820809248554,0.6774193548387096,0.058091286307053944,0.9471014178145157,0.07479205796521617,21,671,16418,10,17120,31,0.001810747663551402,0.03292181069958848,1086.8181818181818,,
Seoul,onset,1D-CNN-Onset,2024.0,0.5099999999999999,0.85303738317757,0.8136869784184884,0.0094749309119621,0.7741935483870968,0.0187207488299532,0.897194762146561,0.12485919771700281,24,2509,14580,7,17120,31,0.001810747663551402,0.013201320132013201,,3.0,58656.0
Seoul,onset,LSTM-Onset,2024.0,0.49499999999999994,0.9141355140186916,0.8281916871634083,0.015488215488215488,0.7419354838709677,0.030343007915567283,0.9256416596980891,0.12641332325033322,23,1462,15627,8,17120,31,0.001810747663551402,0.0243531202435312,,6.0,58656.0
