station,task,model,seed,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn,n_test,n_positive_test,positive_prevalence_test,val_f1
Paju,onset,XGBoost-Onset (thr=0.5),42,0.5,0.8966318234610917,0.8618222581971425,0.06666666666666667,0.8263888888888888,0.12337998963193364,0.9425056532017678,0.17734474915622145,119,1666,14549,25,16359,144,0.008802494039977994,
Cheorwon,overall,XGBoost (thr=0.5),42,0.5,0.9765649575338157,0.8573503576057218,0.324468085106383,0.7349397590361446,0.45018450184501846,0.9792886286180579,0.4952554499106508,61,127,6148,22,6358,83,0.013054419628814092,
Cheorwon,onset,XGBoost-Onset (thr=0.5),42,0.5,0.9725765306122449,0.6973396529712463,0.07784431137724551,0.41935483870967744,0.13131313131313133,0.9523029291211603,0.07745079711638883,13,154,6087,18,6272,31,0.004942602040816327,
Chuncheon,overall,XGBoost (thr=0.5),42,0.5,0.9870177141470516,0.7443235381933409,0.37089201877934275,0.4968553459119497,0.42473118279569894,0.9761913567761757,0.389863737980352,79,134,16191,80,16484,159,0.009645717058966271,
Chuncheon,onset,XGBoost-Onset (thr=0.5),42,0.5,0.9873223909848113,0.6275251428984878,0.10285714285714286,0.2647058823529412,0.14814814814814814,0.947456768685334,0.10460874578043974,18,157,16103,50,16328,68,0.004164625183733464,
Inje,overall,XGBoost (thr=0.5),42,0.5,0.9904698715242174,0.6271125067309381,0.07971014492753623,0.2619047619047619,0.12222222222222222,0.9172116206947191,0.05131602231829073,11,127,16410,31,16579,42,0.002533325291030822,
Inje,onset,XGBoost-Onset (thr=0.5),42,0.5,0.9908084900526093,0.5285321466680738,0.016,0.06451612903225806,0.02564102564102564,0.8435114503816794,0.01409690969705159,2,123,16383,29,16537,31,0.0018745842655862612,
Sokcho,overall,XGBoost (thr=0.5),42,0.5,0.9913650560352747,0.8568445746854934,0.2619047619047619,0.7213114754098361,0.38427947598253276,0.9621292127358547,0.45723749905808647,44,124,16144,17,16329,61,0.0037356849776471308,
Sokcho,onset,XGBoost-Onset (thr=0.5),42,0.5,0.9841416190300571,0.659278413988425,0.03614457831325301,0.3333333333333333,0.06521739130434782,0.9261015109432792,0.16035391556711967,9,240,16002,18,16269,27,0.00165959800848239,
Seoul,overall,XGBoost (thr=0.5),42,0.5,0.9933046110852353,0.7563584779706276,0.24786324786324787,0.5178571428571429,0.3352601156069364,0.9755684662883845,0.2615726993476213,29,88,17032,27,17176,56,0.0032603632976245926,
Seoul,onset,XGBoost-Onset (thr=0.5),42,0.5,0.9934579439252337,0.6264282437863256,0.08247422680412371,0.25806451612903225,0.125,0.9529182137538013,0.0760849906613421,8,89,17000,23,17120,31,0.001810747663551402,
